inventory_id,depot_id,item_code,item_name,item_category,quantity_in_stock,minimum_stock_level,maximum_stock_level,unit_cost_sar,supplier_name,last_restocked_date,expiry_date,batch_number,storage_location,condition,created_at
INV48470,DEP1,ITEM6187,Battery 12V,Electrical,128,34,223,774.04,Volvo Parts,2025-06-14T10:22:19,2028-03-12T10:22:19,BATCH-9354,Warehouse B,Good,2025-10-04T21:14:53.706939
INV41698,DEP6,ITEM2521,Spark Plugs,Engine Parts,97,16,317,49.75,BP Components,2025-06-01T18:57:16,2026-11-18T18:57:16,BATCH-4213,Warehouse B,Good,2025-10-04T21:14:53.706999
INV75668,DEP3,ITEM3803,Tire 315/80R22.5,Tires,604,89,702,1554.18,Chevron Parts,2025-05-05T18:53:28,,BATCH-7379,Cold Storage,Fair,2025-10-04T21:14:53.707057
INV81827,DEP4,ITEM2977,Brake Pads,Brake System,178,49,187,251.96,Total Oil,2025-04-04T06:05:32,2027-10-07T06:05:32,BATCH-3115,Warehouse B,Fair,2025-10-04T21:14:53.707115
INV96095,DEP6,ITEM5964,Floor Mats,Accessories,61,50,342,46.33,MAN Parts,2025-05-31T01:04:08,,BATCH-6859,Hazardous Storage,Good,2025-10-04T21:14:53.707178
INV36435,DEP4,ITEM7631,Brake Lines,Brake System,78,27,188,201.47,Iveco Parts,2025-06-09T01:40:21,,BATCH-1190,Hazardous Storage,Good,2025-10-04T21:14:53.707235
INV58294,DEP2,ITEM3942,Valve Stems,Tires,314,11,377,300.74,Iveco Parts,2025-03-14T16:00:07,,BATCH-5941,Warehouse A,Poor,2025-10-04T21:14:53.707292
INV69100,DEP2,ITEM4687,Bulbs,Electrical,123,14,400,243.54,Scania Parts,2025-06-09T09:10:22,2027-06-05T09:10:22,BATCH-1279,Hazardous Storage,Poor,2025-10-04T21:14:53.707357
INV29241,DEP5,ITEM7028,Air Filter,Engine Parts,209,22,264,207.66,International Parts,2025-02-13T05:09:48,,BATCH-5481,Warehouse B,Good,2025-10-04T21:14:53.707416
INV86803,DEP6,ITEM6825,Engine Oil 15W-40,Engine Parts,1198,190,1743,53.67,Scania Parts,2025-06-24T20:27:22,2027-07-30T20:27:22,BATCH-4160,Warehouse A,Good,2025-10-04T21:14:53.707476
INV89008,DEP5,ITEM1482,Mirrors,Accessories,233,10,267,202.93,Volvo Parts,2025-06-27T18:41:01,2028-01-11T18:41:01,BATCH-1421,Cold Storage,Good,2025-10-04T21:14:53.707542
INV51924,DEP5,ITEM9952,Tire 385/65R22.5,Tires,213,91,397,1912.06,Mercedes Parts,2025-04-03T11:10:35,2026-11-08T11:10:35,BATCH-8007,Warehouse A,Fair,2025-10-04T21:14:53.707604
INV33001,DEP5,ITEM5657,Hydraulic Oil,Fluids,166,116,1227,32.9,MAN Parts,2025-04-03T20:45:48,,BATCH-9674,Warehouse A,Poor,2025-10-04T21:14:53.707661
INV37677,DEP6,ITEM9017,Fuel Filter,Engine Parts,434,11,458,491.87,Iveco Parts,2025-05-22T21:08:56,2026-10-02T21:08:56,BATCH-4086,Warehouse A,Good,2025-10-04T21:14:53.707721
INV84943,DEP3,ITEM5424,Tire 295/80R22.5,Tires,181,98,299,2276.07,Volvo Parts,2025-06-07T06:25:51,,BATCH-4824,Hazardous Storage,Good,2025-10-04T21:14:53.707784
INV76083,DEP4,ITEM6250,Brake Calipers,Brake System,82,31,136,47.26,Local Supplier,2025-04-22T01:50:58,2027-06-03T01:50:58,BATCH-9829,Hazardous Storage,Good,2025-10-04T21:14:53.707844
INV24922,DEP2,ITEM2164,Power Steering Fluid,Fluids,331,187,529,51.33,Total Oil,2025-06-02T21:03:53,2027-04-09T21:03:53,BATCH-8797,Warehouse B,Good,2025-10-04T21:14:53.707904
INV15228,DEP6,ITEM8642,Transmission Fluid,Fluids,1078,107,1656,53.23,Local Supplier,2025-02-08T15:32:56,,BATCH-2392,Warehouse A,Good,2025-10-04T21:14:53.707962
INV64988,DEP1,ITEM4658,Tire 295/80R22.5,Tires,335,66,671,2129.65,International Parts,2025-04-05T11:08:05,,BATCH-7683,Cold Storage,Poor,2025-10-04T21:14:53.708018
INV50999,DEP6,ITEM4496,Tire 295/80R22.5,Tires,321,74,776,1653.19,MAN Parts,2025-02-28T06:12:27,,BATCH-5668,Warehouse A,Good,2025-10-04T21:14:53.708075
INV80364,DEP6,ITEM5245,Brake Fluid,Brake System,488,54,643,25.21,Chevron Parts,2025-02-25T01:24:02,,BATCH-1163,Hazardous Storage,Good,2025-10-04T21:14:53.708131
INV74716,DEP3,ITEM6217,First Aid Kit,Accessories,55,46,205,215.88,OEM Supplier,2025-04-14T20:05:58,2028-01-07T20:05:58,BATCH-7697,Hazardous Storage,Good,2025-10-04T21:14:53.708197
INV23909,DEP6,ITEM5539,Tool Kit,Accessories,134,36,294,331.5,Scania Parts,2025-03-31T19:30:56,2027-12-07T19:30:56,BATCH-4091,Warehouse A,Poor,2025-10-04T21:14:53.708259
INV24412,DEP6,ITEM7764,Valve Stems,Tires,105,37,302,360.02,OEM Supplier,2025-06-10T19:07:13,,BATCH-0251,Hazardous Storage,Good,2025-10-04T21:14:53.708317
INV11135,DEP3,ITEM8976,Seat Covers,Accessories,272,17,393,415.77,Mercedes Parts,2025-06-26T19:42:51,2026-10-19T19:42:51,BATCH-6799,Cold Storage,Good,2025-10-04T21:14:53.708381
INV18758,DEP2,ITEM9681,Wiper Blades,Accessories,178,14,295,251.55,Volvo Parts,2025-03-11T12:18:14,2026-07-25T12:18:14,BATCH-4386,Warehouse A,Good,2025-10-04T21:14:53.708442
INV71838,DEP6,ITEM4479,Starter Motor,Electrical,199,10,206,357.86,Aftermarket Parts,2025-05-24T20:32:36,2026-07-31T20:32:36,BATCH-1744,Warehouse A,Poor,2025-10-04T21:14:53.708503
INV71893,DEP6,ITEM7392,Timing Belt,Engine Parts,100,49,170,70.05,Volvo Parts,2025-05-24T23:56:31,2027-08-09T23:56:31,BATCH-7843,Warehouse B,Poor,2025-10-04T21:14:53.708564
INV42220,DEP4,ITEM9649,Battery 12V,Electrical,382,28,390,582.14,Iveco Parts,2025-02-23T21:04:31,,BATCH-1816,Cold Storage,Fair,2025-10-04T21:14:53.708625
INV92040,DEP5,ITEM1388,Valve Stems,Tires,113,11,126,324.28,Volvo Parts,2025-02-23T11:14:46,,BATCH-5627,Hazardous Storage,Poor,2025-10-04T21:14:53.708682
INV47773,DEP2,ITEM1607,Tool Kit,Accessories,133,49,458,65.9,Scania Parts,2025-02-21T02:23:59,2026-11-25T02:23:59,BATCH-1749,Cold Storage,Poor,2025-10-04T21:14:53.708742
INV38129,DEP6,ITEM6185,Power Steering Fluid,Fluids,1394,171,1714,48.32,Shell Lubricants,2025-04-05T23:42:43,,BATCH-8209,Warehouse A,Good,2025-10-04T21:14:53.708800
INV52522,DEP3,ITEM6138,Seat Covers,Accessories,210,32,255,444.88,Scania Parts,2025-03-12T18:06:11,2026-03-12T18:06:11,BATCH-9984,Cold Storage,Good,2025-10-04T21:14:53.708859
INV77887,DEP3,ITEM5299,Brake Fluid,Brake System,497,165,1614,35.9,Shell Lubricants,2025-06-03T04:38:41,,BATCH-2831,Warehouse A,Good,2025-10-04T21:14:53.708923
INV56882,DEP5,ITEM1763,Mirrors,Accessories,184,50,251,475.88,MAN Parts,2025-03-18T08:24:59,,BATCH-6359,Hazardous Storage,Fair,2025-10-04T21:14:53.708985
INV35513,DEP2,ITEM6682,Brake Discs,Brake System,139,12,173,281.28,Aramco Parts,2025-04-07T18:56:25,2026-12-03T18:56:25,BATCH-7668,Cold Storage,Good,2025-10-04T21:14:53.709045
INV60251,DEP2,ITEM8095,Tire 385/65R22.5,Tires,381,24,735,1201.99,Aramco Parts,2025-02-20T14:24:34,2028-01-21T14:24:34,BATCH-3474,Cold Storage,Fair,2025-10-04T21:14:53.709105
INV58133,DEP1,ITEM7162,Power Steering Fluid,Fluids,703,94,937,60.73,Aramco Parts,2025-06-22T11:41:43,2027-08-13T11:41:43,BATCH-8238,Warehouse A,Good,2025-10-04T21:14:53.709164
INV36578,DEP5,ITEM6973,Tire 385/65R22.5,Tires,108,89,347,1965.58,BP Components,2025-02-07T00:23:39,2027-08-06T00:23:39,BATCH-0735,Cold Storage,Fair,2025-10-04T21:14:53.709229
INV30738,DEP1,ITEM3600,Grease,Fluids,59,44,327,245.94,BP Components,2025-06-12T09:10:48,,BATCH-2023,Warehouse B,Good,2025-10-04T21:14:53.709287
INV20828,DEP6,ITEM9371,Hydraulic Oil,Fluids,323,199,1669,69.22,International Parts,2025-04-05T16:49:49,,BATCH-3676,Warehouse A,Good,2025-10-04T21:14:53.709344
INV36019,DEP6,ITEM2406,Coolant,Fluids,54,28,256,352.44,BP Components,2025-02-16T04:15:32,2026-07-19T04:15:32,BATCH-6717,Cold Storage,Good,2025-10-04T21:14:53.709403
INV98319,DEP2,ITEM2662,Fuses,Electrical,254,38,330,255.99,Aftermarket Parts,2025-06-14T03:55:45,,BATCH-2436,Warehouse B,Fair,2025-10-04T21:14:53.709460
INV24760,DEP4,ITEM4901,First Aid Kit,Accessories,439,25,463,291.98,Aftermarket Parts,2025-03-20T05:55:46,2026-07-20T05:55:46,BATCH-9032,Warehouse A,Good,2025-10-04T21:14:53.709523
INV22009,DEP4,ITEM2319,Tire 295/80R22.5,Tires,790,38,792,2439.84,OEM Supplier,2025-03-10T16:59:32,2027-05-18T16:59:32,BATCH-6752,Warehouse A,Fair,2025-10-04T21:14:53.709591
INV95532,DEP5,ITEM5818,Bulbs,Electrical,64,11,394,458.33,Mercedes Parts,2025-06-16T10:15:10,,BATCH-2590,Warehouse B,Good,2025-10-04T21:14:53.709650
INV76469,DEP3,ITEM7571,Grease,Fluids,288,22,309,256.68,Mercedes Parts,2025-04-11T05:32:47,2026-04-30T05:32:47,BATCH-6108,Hazardous Storage,Poor,2025-10-04T21:14:53.709709
INV23089,DEP4,ITEM1315,Oil Filter,Engine Parts,1513,173,1951,35.05,Scania Parts,2025-04-07T15:38:49,2027-03-31T15:38:49,BATCH-5148,Hazardous Storage,Good,2025-10-04T21:14:53.709770
INV92233,DEP6,ITEM5816,Floor Mats,Accessories,20,17,123,336.2,OEM Supplier,2025-04-12T17:00:49,2027-03-04T17:00:49,BATCH-8377,Warehouse A,Good,2025-10-04T21:14:53.709831
INV58714,DEP3,ITEM9868,Battery 12V,Electrical,383,39,497,497.82,Chevron Parts,2025-06-28T01:37:21,2027-05-05T01:37:21,BATCH-4302,Hazardous Storage,Good,2025-10-04T21:14:53.709891
INV41393,DEP1,ITEM9558,Air Filter,Engine Parts,86,24,216,133.76,Aftermarket Parts,2025-04-23T23:59:49,,BATCH-6928,Warehouse B,Good,2025-10-04T21:14:53.709948
INV22554,DEP5,ITEM3513,Brake Discs,Brake System,55,40,215,118.5,Shell Lubricants,2025-03-28T11:31:03,,BATCH-9467,Cold Storage,Good,2025-10-04T21:14:53.710004
INV90762,DEP4,ITEM9809,Engine Oil 15W-40,Engine Parts,699,194,926,52.16,Aftermarket Parts,2025-06-06T13:35:45,2028-01-11T13:35:45,BATCH-6419,Warehouse A,Good,2025-10-04T21:14:53.710069
INV64962,DEP6,ITEM6150,Brake Fluid,Brake System,646,155,1346,67.66,Chevron Parts,2025-05-24T01:10:44,,BATCH-5058,Cold Storage,Good,2025-10-04T21:14:53.710127
INV20327,DEP6,ITEM1266,Power Steering Fluid,Fluids,936,125,1559,49.61,Scania Parts,2025-03-25T21:09:47,,BATCH-6802,Warehouse A,Good,2025-10-04T21:14:53.710189
INV58261,DEP5,ITEM3050,Floor Mats,Accessories,115,42,297,299.76,Aftermarket Parts,2025-06-17T02:26:34,,BATCH-0399,Warehouse B,Good,2025-10-04T21:14:53.710247
INV55035,DEP5,ITEM9738,Mirrors,Accessories,123,49,183,121.66,Aramco Parts,2025-03-20T15:32:54,2027-01-10T15:32:54,BATCH-9899,Warehouse A,Good,2025-10-04T21:14:53.710312
INV58743,DEP2,ITEM6757,Tire 295/80R22.5,Tires,125,31,766,1107.49,Aramco Parts,2025-04-08T20:04:59,,BATCH-4722,Cold Storage,Fair,2025-10-04T21:14:53.710371
INV41865,DEP4,ITEM6638,Brake Calipers,Brake System,70,42,127,455.45,Total Oil,2025-02-05T00:20:22,2027-12-25T00:20:22,BATCH-3600,Warehouse A,Good,2025-10-04T21:14:53.710431
INV74393,DEP6,ITEM1827,Mirrors,Accessories,286,24,315,337.06,Aftermarket Parts,2025-04-13T00:53:43,2028-03-01T00:53:43,BATCH-2253,Cold Storage,Good,2025-10-04T21:14:53.710493
INV23508,DEP3,ITEM9820,Coolant,Fluids,354,28,403,452.0,Volvo Parts,2025-02-09T09:40:16,,BATCH-2798,Cold Storage,Poor,2025-10-04T21:14:53.710550
INV17216,DEP3,ITEM5715,Mirrors,Accessories,116,30,387,497.5,Shell Lubricants,2025-05-11T00:18:51,2027-10-08T00:18:51,BATCH-2437,Warehouse A,Good,2025-10-04T21:14:53.710612
INV77142,DEP5,ITEM1283,Engine Oil 15W-40,Engine Parts,545,194,1689,45.57,Shell Lubricants,2025-06-05T11:06:57,,BATCH-1076,Hazardous Storage,Good,2025-10-04T21:14:53.710671
INV42660,DEP1,ITEM7201,Starter Motor,Electrical,154,28,270,287.47,Volvo Parts,2025-02-04T23:42:18,2027-12-09T23:42:18,BATCH-7141,Hazardous Storage,Fair,2025-10-04T21:14:53.710730
INV45188,DEP5,ITEM4633,Brake Discs,Brake System,381,19,459,287.74,Scania Parts,2025-06-11T03:50:05,,BATCH-6023,Cold Storage,Good,2025-10-04T21:14:53.710793
INV79898,DEP5,ITEM4214,Transmission Fluid,Fluids,566,161,1004,32.59,OEM Supplier,2025-02-12T08:09:18,2026-08-02T08:09:18,BATCH-0568,Hazardous Storage,Good,2025-10-04T21:14:53.710853
INV78554,DEP2,ITEM4928,Wiper Blades,Accessories,167,25,288,166.28,OEM Supplier,2025-03-17T20:43:14,2026-05-14T20:43:14,BATCH-3203,Cold Storage,Poor,2025-10-04T21:14:53.710914
INV20672,DEP4,ITEM4717,Power Steering Fluid,Fluids,282,151,1929,54.48,Chevron Parts,2025-02-26T19:39:03,2027-09-11T19:39:03,BATCH-0423,Cold Storage,Good,2025-10-04T21:14:53.710980
INV72541,DEP4,ITEM7861,Bulbs,Electrical,141,50,298,162.15,International Parts,2025-05-10T22:00:28,,BATCH-8015,Warehouse A,Good,2025-10-04T21:14:53.711037
INV68533,DEP5,ITEM4824,Transmission Fluid,Fluids,1112,175,1593,30.05,Scania Parts,2025-05-07T02:23:50,,BATCH-5395,Warehouse A,Good,2025-10-04T21:14:53.711094
INV68555,DEP6,ITEM6602,Brake Lines,Brake System,92,21,426,268.86,Mercedes Parts,2025-04-10T09:03:45,2028-01-09T09:03:45,BATCH-8157,Hazardous Storage,Poor,2025-10-04T21:14:53.711153
INV80117,DEP5,ITEM8959,Brake Fluid,Brake System,251,82,941,19.99,International Parts,2025-05-03T16:04:21,2026-12-16T16:04:21,BATCH-3221,Warehouse B,Good,2025-10-04T21:14:53.711213
INV87759,DEP1,ITEM4471,Grease,Fluids,56,20,204,255.39,International Parts,2025-03-10T00:43:13,,BATCH-5664,Hazardous Storage,Good,2025-10-04T21:14:53.711270
INV81234,DEP4,ITEM2606,Seat Covers,Accessories,324,44,475,160.31,Chevron Parts,2025-06-07T21:56:48,,BATCH-7356,Warehouse A,Good,2025-10-04T21:14:53.711326
INV16428,DEP4,ITEM5676,Brake Discs,Brake System,192,41,362,142.1,Mercedes Parts,2025-05-22T01:26:09,2027-02-03T01:26:09,BATCH-8654,Cold Storage,Poor,2025-10-04T21:14:53.711390
INV87132,DEP3,ITEM7248,Battery 12V,Electrical,287,44,324,782.34,OEM Supplier,2025-04-01T07:02:08,,BATCH-8323,Warehouse B,Fair,2025-10-04T21:14:53.711450
INV57452,DEP2,ITEM2458,Fuses,Electrical,114,15,430,475.63,OEM Supplier,2025-04-16T04:55:27,2027-06-07T04:55:27,BATCH-7954,Warehouse B,Good,2025-10-04T21:14:53.711509
INV50919,DEP2,ITEM8553,Tire 385/65R22.5,Tires,152,67,709,974.18,Volvo Parts,2025-05-23T00:31:58,2027-07-25T00:31:58,BATCH-2085,Hazardous Storage,Good,2025-10-04T21:14:53.711569
INV84693,DEP5,ITEM7600,Tire 295/80R22.5,Tires,100,67,211,1422.97,MAN Parts,2025-03-02T21:00:14,2026-04-22T21:00:14,BATCH-8767,Warehouse B,Fair,2025-10-04T21:14:53.711634
INV50804,DEP1,ITEM5015,Grease,Fluids,152,35,176,411.57,BP Components,2025-02-02T16:11:45,2026-09-13T16:11:45,BATCH-9552,Cold Storage,Fair,2025-10-04T21:14:53.711696
INV26611,DEP4,ITEM8746,Battery 12V,Electrical,486,43,492,320.27,Scania Parts,2025-06-13T09:29:16,,BATCH-6200,Hazardous Storage,Good,2025-10-04T21:14:53.711753
INV96312,DEP5,ITEM9711,Brake Fluid,Brake System,545,193,1359,58.97,Aramco Parts,2025-05-02T05:01:41,,BATCH-0699,Hazardous Storage,Good,2025-10-04T21:14:53.711810
INV63924,DEP3,ITEM6954,Brake Pads,Brake System,299,17,332,280.79,Total Oil,2025-05-14T20:07:11,,BATCH-8676,Warehouse B,Poor,2025-10-04T21:14:53.711866
INV30322,DEP2,ITEM7363,Inner Tube,Tires,219,50,276,271.15,BP Components,2025-05-14T09:15:59,2027-03-23T09:15:59,BATCH-6207,Hazardous Storage,Fair,2025-10-04T21:14:53.711925
INV80345,DEP1,ITEM9604,Brake Calipers,Brake System,258,28,279,95.27,Mercedes Parts,2025-04-21T07:51:30,2026-09-10T07:51:30,BATCH-2123,Hazardous Storage,Poor,2025-10-04T21:14:53.711990
INV62666,DEP6,ITEM5505,Air Filter,Engine Parts,120,46,193,315.37,Scania Parts,2025-04-15T12:48:20,,BATCH-2644,Warehouse A,Good,2025-10-04T21:14:53.712049
INV55378,DEP6,ITEM3399,Power Steering Fluid,Fluids,614,57,1465,50.69,Aftermarket Parts,2025-06-27T21:23:36,,BATCH-0396,Cold Storage,Poor,2025-10-04T21:14:53.712106
INV85831,DEP4,ITEM1114,Valve Stems,Tires,89,49,179,296.43,Volvo Parts,2025-06-22T16:19:34,,BATCH-4348,Cold Storage,Good,2025-10-04T21:14:53.712163
INV48315,DEP3,ITEM9259,Seat Covers,Accessories,143,46,360,385.76,Local Supplier,2025-05-23T16:18:25,2026-10-21T16:18:25,BATCH-3392,Cold Storage,Good,2025-10-04T21:14:53.712221
INV28561,DEP4,ITEM4091,Inner Tube,Tires,333,26,462,450.79,International Parts,2025-06-15T02:08:41,,BATCH-6931,Warehouse A,Good,2025-10-04T21:14:53.712285
INV38861,DEP2,ITEM9713,Starter Motor,Electrical,102,43,389,395.84,OEM Supplier,2025-06-03T12:25:08,2028-05-22T12:25:08,BATCH-3647,Cold Storage,Good,2025-10-04T21:14:53.712350
INV32982,DEP2,ITEM6347,Starter Motor,Electrical,52,27,157,429.24,OEM Supplier,2025-02-10T18:13:37,2027-11-14T18:13:37,BATCH-9429,Warehouse A,Good,2025-10-04T21:14:53.712415
INV66688,DEP5,ITEM5274,Tire 295/80R22.5,Tires,179,90,546,1754.65,Shell Lubricants,2025-02-23T13:52:05,,BATCH-9017,Warehouse B,Fair,2025-10-04T21:14:53.712474
INV18777,DEP3,ITEM4719,Floor Mats,Accessories,265,50,310,260.81,Aramco Parts,2025-04-06T20:57:36,2026-04-30T20:57:36,BATCH-4801,Warehouse B,Fair,2025-10-04T21:14:53.712533
INV68218,DEP3,ITEM3247,Tire 385/65R22.5,Tires,445,65,473,1767.72,Aramco Parts,2025-06-10T06:32:33,,BATCH-0504,Warehouse A,Poor,2025-10-04T21:14:53.712595
INV78717,DEP1,ITEM2875,Brake Pads,Brake System,157,46,317,345.86,International Parts,2025-04-13T01:19:36,2028-01-15T01:19:36,BATCH-3375,Warehouse A,Good,2025-10-04T21:14:53.712660
INV92159,DEP6,ITEM4102,Tire 295/80R22.5,Tires,181,61,761,2057.37,BP Components,2025-06-24T01:51:44,2027-01-30T01:51:44,BATCH-3740,Warehouse B,Good,2025-10-04T21:14:53.712721
INV15412,DEP1,ITEM1682,Fuses,Electrical,75,46,148,205.12,OEM Supplier,2025-05-20T18:06:18,2027-04-19T18:06:18,BATCH-6278,Warehouse B,Good,2025-10-04T21:14:53.712781
INV77596,DEP2,ITEM6693,Tool Kit,Accessories,102,24,464,446.38,Aftermarket Parts,2025-05-24T15:35:19,,BATCH-1855,Cold Storage,Good,2025-10-04T21:14:53.712837
INV69233,DEP4,ITEM2898,Coolant,Fluids,158,34,449,128.44,International Parts,2025-06-07T21:05:19,2026-08-16T21:05:19,BATCH-6111,Warehouse B,Good,2025-10-04T21:14:53.712896
