schedule_id,customer_id,vehicle_id,driver_id,scheduled_date,scheduled_time,delivery_window_start,delivery_window_end,priority_level,delivery_type,estimated_duration_hours,special_requirements,status,created_at
SCH55637,CUST9384,ALD3544,DRV2112,2025-05-23T07:37:22,07:37,08:00,12:00,Medium,Express,2.89,['Express Delivery'],Scheduled,2025-10-04T21:14:53.924916
SCH49573,CUST8629,ALD3207,DRV5012,2025-04-10T09:48:47,09:48,12:00,16:00,Low,Refrigerated,3.75,['Temperature Control'],Scheduled,2025-10-04T21:14:53.924985
SCH35056,CUST4405,ALD1107,DRV7641,2025-05-13T05:42:45,05:42,08:00,12:00,High,Refrigerated,4.44,['Temperature Control'],Completed,2025-10-04T21:14:53.925055
SCH77119,CUST2046,ALD1755,DRV1661,2025-02-02T05:27:38,05:27,16:00,20:00,Medium,Emergency,1.46,['Fragile Handling'],Scheduled,2025-10-04T21:14:53.925124
SCH91045,CUST7520,ALD2935,DRV5617,2025-05-12T12:41:01,12:41,16:00,20:00,Medium,Refrigerated,3.06,"['Temperature Control', 'Hazardous Materials']",Cancelled,2025-10-04T21:14:53.925216
SCH85083,CUST1601,ALD4348,DRV8569,2025-03-23T11:26:22,11:26,12:00,16:00,Medium,Express,1.27,['Express Delivery'],Scheduled,2025-10-04T21:14:53.925288
SCH67919,CUST3801,ALD3246,DRV5057,2025-06-25T19:51:55,19:51,16:00,20:00,Medium,Bulk,7.43,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.925357
SCH58946,CUST8267,ALD5940,DRV1464,2025-04-11T04:21:23,04:21,16:00,20:00,Low,Bulk,11.76,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.925440
SCH69077,CUST4876,ALD6875,DRV1439,2025-04-25T23:01:54,23:01,08:00,12:00,Low,Bulk,10.75,['Fragile Handling'],Completed,2025-10-04T21:14:53.925514
SCH40853,CUST3438,ALD3202,DRV2209,2025-05-21T06:06:44,06:06,08:00,12:00,High,Express,1.89,['Express Delivery'],Scheduled,2025-10-04T21:14:53.925584
SCH49589,CUST1769,ALD7149,DRV3703,2025-04-06T02:34:34,02:34,20:00,24:00,Low,Express,1.52,['Express Delivery'],Completed,2025-10-04T21:14:53.925653
SCH77542,CUST2842,ALD9461,DRV6507,2025-02-03T07:14:22,07:14,08:00,12:00,Low,Refrigerated,2.8,"['Temperature Control', 'Hazardous Materials']",Completed,2025-10-04T21:14:53.925723
SCH25230,CUST7830,ALD1722,DRV6935,2025-05-22T19:24:51,19:24,20:00,24:00,Low,Emergency,1.68,['Fragile Handling'],Cancelled,2025-10-04T21:14:53.925794
SCH90776,CUST8586,ALD7654,DRV8491,2025-05-19T13:45:40,13:45,12:00,16:00,Medium,Express,2.16,"['Fragile Handling', 'Express Delivery']",Completed,2025-10-04T21:14:53.925864
SCH64111,CUST1991,ALD6250,DRV5632,2025-06-28T23:48:46,23:48,16:00,20:00,Medium,Bulk,6.03,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.925933
SCH41773,CUST8933,ALD2514,DRV5430,2025-05-09T12:25:03,12:25,08:00,12:00,Low,Express,2.87,['Express Delivery'],Scheduled,2025-10-04T21:14:53.926002
SCH92785,CUST6893,ALD2733,DRV1964,2025-04-19T09:04:43,09:04,08:00,12:00,Medium,Standard,4.61,['Standard Delivery'],In Progress,2025-10-04T21:14:53.926072
SCH41071,CUST6739,ALD6390,DRV4003,2025-03-11T14:48:16,14:48,08:00,12:00,Medium,Express,4.0,['Express Delivery'],Cancelled,2025-10-04T21:14:53.926159
SCH86000,CUST3245,ALD7978,DRV2186,2025-02-04T18:08:42,18:08,16:00,20:00,Medium,Bulk,10.26,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.926233
SCH80623,CUST4670,ALD7057,DRV2981,2025-04-25T11:42:08,11:42,20:00,24:00,High,Scheduled,6.39,['Standard Delivery'],Completed,2025-10-04T21:14:53.926302
SCH97411,CUST4502,ALD6713,DRV7453,2025-04-25T22:25:34,22:25,12:00,16:00,Medium,Emergency,1.15,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.926371
SCH65279,CUST2413,ALD3118,DRV4640,2025-05-10T08:57:23,08:57,12:00,16:00,High,Standard,4.17,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.926442
SCH56979,CUST6112,ALD1514,DRV5474,2025-02-24T06:35:06,06:35,12:00,16:00,Medium,Express,2.06,['Express Delivery'],Cancelled,2025-10-04T21:14:53.926511
SCH51989,CUST8587,ALD4607,DRV7158,2025-04-10T13:54:47,13:54,16:00,20:00,Medium,Refrigerated,2.97,"['Temperature Control', 'Hazardous Materials']",Scheduled,2025-10-04T21:14:53.926580
SCH85904,CUST3936,ALD1432,DRV8076,2025-04-15T22:14:18,22:14,12:00,16:00,Low,Bulk,9.19,['Standard Delivery'],Completed,2025-10-04T21:14:53.926659
SCH15867,CUST7747,ALD2676,DRV5006,2025-04-03T16:58:16,16:58,08:00,12:00,High,Standard,4.47,['Hazardous Materials'],Cancelled,2025-10-04T21:14:53.926723
SCH61609,CUST8767,ALD3449,DRV6083,2025-04-19T13:33:00,13:33,20:00,24:00,Low,Emergency,0.55,['Fragile Handling'],In Progress,2025-10-04T21:14:53.926787
SCH57940,CUST1588,ALD6577,DRV3271,2025-05-16T23:59:46,23:59,08:00,12:00,Medium,Refrigerated,3.83,"['Temperature Control', 'Fragile Handling']",Scheduled,2025-10-04T21:14:53.926856
SCH45538,CUST6909,ALD3378,DRV4140,2025-05-13T13:09:03,13:09,08:00,12:00,Medium,Scheduled,3.56,['Standard Delivery'],Cancelled,2025-10-04T21:14:53.926921
SCH26009,CUST5175,ALD4053,DRV8824,2025-03-30T00:49:57,00:49,12:00,16:00,High,Express,2.17,['Express Delivery'],Cancelled,2025-10-04T21:14:53.926990
SCH78921,CUST1432,ALD6787,DRV5406,2025-03-22T04:42:35,04:42,16:00,20:00,Medium,Bulk,9.93,['Standard Delivery'],Cancelled,2025-10-04T21:14:53.927054
SCH38924,CUST7707,ALD2556,DRV4006,2025-04-07T23:39:05,23:39,08:00,12:00,Medium,Standard,7.52,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.927117
SCH59710,CUST8535,ALD8637,DRV9034,2025-02-03T00:56:30,00:56,08:00,12:00,Medium,Refrigerated,4.58,['Temperature Control'],Scheduled,2025-10-04T21:14:53.927180
SCH87301,CUST1830,ALD1946,DRV7648,2025-06-09T19:00:41,19:00,20:00,24:00,Medium,Scheduled,7.39,['Standard Delivery'],Cancelled,2025-10-04T21:14:53.927243
SCH68665,CUST8404,ALD7972,DRV4527,2025-02-10T04:51:36,04:51,16:00,20:00,High,Refrigerated,2.89,['Temperature Control'],Cancelled,2025-10-04T21:14:53.927306
SCH80421,CUST4508,ALD4977,DRV2648,2025-04-11T07:30:08,07:30,20:00,24:00,Medium,Bulk,5.27,['Standard Delivery'],Completed,2025-10-04T21:14:53.927369
SCH99691,CUST4498,ALD5899,DRV4785,2025-02-27T04:38:30,04:38,16:00,20:00,Medium,Standard,5.93,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.927434
SCH47117,CUST3106,ALD4153,DRV5327,2025-03-30T07:47:18,07:47,16:00,20:00,Low,Express,3.44,['Express Delivery'],In Progress,2025-10-04T21:14:53.927503
SCH77997,CUST1882,ALD9484,DRV2834,2025-05-03T18:42:59,18:42,12:00,16:00,Medium,Express,3.47,['Express Delivery'],Completed,2025-10-04T21:14:53.927568
SCH88586,CUST4720,ALD5530,DRV6507,2025-04-07T15:54:34,15:54,12:00,16:00,Low,Emergency,1.05,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.927651
SCH60838,CUST3702,ALD1443,DRV6370,2025-03-04T13:27:12,13:27,20:00,24:00,Medium,Express,2.78,['Express Delivery'],Scheduled,2025-10-04T21:14:53.927722
SCH71745,CUST1445,ALD7374,DRV1724,2025-05-07T08:08:23,08:08,08:00,12:00,High,Emergency,1.93,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.927792
SCH62623,CUST1770,ALD1055,DRV9487,2025-02-14T17:54:35,17:54,16:00,20:00,Medium,Bulk,8.27,['Standard Delivery'],In Progress,2025-10-04T21:14:53.927866
SCH99154,CUST5395,ALD9465,DRV9464,2025-02-20T04:04:51,04:04,20:00,24:00,Medium,Standard,2.27,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.927930
SCH49675,CUST8933,ALD9352,DRV1219,2025-04-22T23:06:33,23:06,12:00,16:00,Medium,Standard,2.25,['Standard Delivery'],In Progress,2025-10-04T21:14:53.927993
SCH74778,CUST9846,ALD4676,DRV8521,2025-02-17T01:29:30,01:29,16:00,20:00,Medium,Emergency,1.56,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.928056
SCH99288,CUST8084,ALD5461,DRV9096,2025-02-21T12:51:16,12:51,16:00,20:00,Medium,Refrigerated,2.36,['Temperature Control'],Completed,2025-10-04T21:14:53.928119
SCH72611,CUST5512,ALD8815,DRV3771,2025-03-12T12:02:24,12:02,16:00,20:00,Medium,Scheduled,3.85,['Hazardous Materials'],Cancelled,2025-10-04T21:14:53.928195
SCH62918,CUST4509,ALD4192,DRV7032,2025-04-06T20:18:58,20:18,16:00,20:00,Medium,Refrigerated,2.03,['Temperature Control'],Scheduled,2025-10-04T21:14:53.928269
SCH18239,CUST6542,ALD4624,DRV5252,2025-02-02T02:37:26,02:37,20:00,24:00,Medium,Emergency,0.99,['Standard Delivery'],In Progress,2025-10-04T21:14:53.928340
SCH87803,CUST6904,ALD9239,DRV3867,2025-06-29T21:27:28,21:27,16:00,20:00,Medium,Standard,6.23,['Hazardous Materials'],Scheduled,2025-10-04T21:14:53.928409
SCH23029,CUST3673,ALD5207,DRV8965,2025-05-02T09:02:42,09:02,16:00,20:00,Medium,Express,1.82,['Express Delivery'],In Progress,2025-10-04T21:14:53.928479
SCH66410,CUST1259,ALD2336,DRV7005,2025-06-26T22:16:03,22:16,08:00,12:00,Low,Scheduled,2.7,['Standard Delivery'],In Progress,2025-10-04T21:14:53.928567
SCH44762,CUST8586,ALD1069,DRV1792,2025-05-17T09:37:26,09:37,16:00,20:00,Medium,Bulk,7.93,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.928639
SCH29555,CUST4977,ALD3998,DRV9413,2025-02-13T16:50:44,16:50,08:00,12:00,Medium,Express,1.8,['Express Delivery'],Completed,2025-10-04T21:14:53.928711
SCH37520,CUST8430,ALD2396,DRV6908,2025-04-20T19:59:09,19:59,12:00,16:00,Medium,Bulk,7.45,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.928781
SCH62004,CUST5666,ALD3679,DRV1614,2025-05-28T18:05:47,18:05,12:00,16:00,Low,Emergency,1.8,['Standard Delivery'],Cancelled,2025-10-04T21:14:53.928845
SCH39430,CUST4103,ALD4669,DRV9975,2025-06-25T00:33:42,00:33,16:00,20:00,Medium,Emergency,1.71,['Standard Delivery'],Cancelled,2025-10-04T21:14:53.928921
SCH87939,CUST2909,ALD8124,DRV8690,2025-03-01T15:06:05,15:06,12:00,16:00,Low,Scheduled,3.57,['Hazardous Materials'],In Progress,2025-10-04T21:14:53.928995
SCH54584,CUST8471,ALD8896,DRV5316,2025-02-05T23:29:15,23:29,16:00,20:00,Medium,Emergency,1.86,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.929065
SCH98215,CUST7828,ALD5745,DRV6415,2025-03-26T03:30:39,03:30,08:00,12:00,Medium,Emergency,1.72,['Standard Delivery'],Completed,2025-10-04T21:14:53.929135
SCH89975,CUST5272,ALD4496,DRV8983,2025-04-19T23:31:51,23:31,08:00,12:00,Medium,Scheduled,3.86,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.929205
SCH54559,CUST3657,ALD8337,DRV6105,2025-06-12T02:40:28,02:40,20:00,24:00,Medium,Standard,3.94,['Standard Delivery'],In Progress,2025-10-04T21:14:53.929274
SCH48687,CUST3685,ALD3781,DRV9657,2025-04-18T10:06:58,10:06,20:00,24:00,Low,Emergency,1.45,['Standard Delivery'],Completed,2025-10-04T21:14:53.929344
SCH61151,CUST4633,ALD2888,DRV2304,2025-05-07T07:54:13,07:54,16:00,20:00,Medium,Standard,2.71,['Standard Delivery'],Completed,2025-10-04T21:14:53.929413
SCH76139,CUST5321,ALD3635,DRV9024,2025-05-30T20:06:17,20:06,12:00,16:00,Medium,Emergency,1.37,['Hazardous Materials'],Cancelled,2025-10-04T21:14:53.929483
SCH38458,CUST3955,ALD2363,DRV3230,2025-04-19T19:24:17,19:24,20:00,24:00,Low,Refrigerated,3.64,['Temperature Control'],Cancelled,2025-10-04T21:14:53.929553
SCH33618,CUST9277,ALD5952,DRV3400,2025-03-09T10:09:32,10:09,16:00,20:00,Medium,Refrigerated,5.97,"['Temperature Control', 'Hazardous Materials']",Cancelled,2025-10-04T21:14:53.929628
SCH91228,CUST4018,ALD2297,DRV6619,2025-03-21T20:12:26,20:12,20:00,24:00,Medium,Bulk,4.32,['Fragile Handling'],Scheduled,2025-10-04T21:14:53.929890
SCH28246,CUST6069,ALD7818,DRV4829,2025-04-03T23:41:09,23:41,08:00,12:00,Medium,Emergency,1.1,['Standard Delivery'],Cancelled,2025-10-04T21:14:53.930027
SCH77326,CUST8565,ALD9319,DRV7294,2025-05-07T06:56:41,06:56,12:00,16:00,Low,Bulk,9.47,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.930157
SCH59199,CUST9925,ALD9827,DRV9635,2025-06-29T02:12:51,02:12,12:00,16:00,Low,Refrigerated,5.27,['Temperature Control'],Scheduled,2025-10-04T21:14:53.931172
SCH56306,CUST1684,ALD3020,DRV7650,2025-05-11T21:20:50,21:20,20:00,24:00,Low,Express,2.3,"['Fragile Handling', 'Express Delivery']",Cancelled,2025-10-04T21:14:53.931460
SCH33727,CUST9301,ALD9029,DRV7213,2025-04-02T07:03:54,07:03,16:00,20:00,Low,Bulk,5.49,['Standard Delivery'],Completed,2025-10-04T21:14:53.931559
SCH20939,CUST3852,ALD7438,DRV4148,2025-04-06T20:19:54,20:19,08:00,12:00,Medium,Express,3.06,['Express Delivery'],Cancelled,2025-10-04T21:14:53.931671
SCH84508,CUST2176,ALD1925,DRV3950,2025-02-06T20:53:30,20:53,20:00,24:00,Medium,Bulk,8.63,['Standard Delivery'],Completed,2025-10-04T21:14:53.931751
SCH72293,CUST3124,ALD8745,DRV9538,2025-06-27T12:14:25,12:14,12:00,16:00,Low,Express,3.88,['Express Delivery'],Scheduled,2025-10-04T21:14:53.931826
SCH28100,CUST8256,ALD6545,DRV4373,2025-03-12T05:37:30,05:37,12:00,16:00,Medium,Bulk,6.03,['Standard Delivery'],In Progress,2025-10-04T21:14:53.931974
SCH74142,CUST8854,ALD8934,DRV8097,2025-03-26T13:18:43,13:18,08:00,12:00,Low,Bulk,6.22,['Standard Delivery'],Cancelled,2025-10-04T21:14:53.932050
SCH70217,CUST3632,ALD1534,DRV7341,2025-06-23T13:25:02,13:25,08:00,12:00,Low,Emergency,1.04,['Standard Delivery'],Completed,2025-10-04T21:14:53.932119
SCH65388,CUST4150,ALD3389,DRV4867,2025-02-13T17:47:02,17:47,08:00,12:00,Medium,Emergency,0.69,['Fragile Handling'],Scheduled,2025-10-04T21:14:53.932223
SCH54030,CUST6581,ALD2024,DRV4193,2025-02-13T20:30:33,20:30,08:00,12:00,Medium,Express,1.14,['Express Delivery'],Scheduled,2025-10-04T21:14:53.932294
SCH59639,CUST6055,ALD9001,DRV3650,2025-02-07T07:19:06,07:19,20:00,24:00,Medium,Bulk,4.28,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.932360
SCH18722,CUST4358,ALD7863,DRV9850,2025-06-08T16:42:12,16:42,16:00,20:00,High,Scheduled,6.03,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.932426
SCH25092,CUST9663,ALD6040,DRV3760,2025-04-05T01:20:31,01:20,20:00,24:00,Low,Scheduled,4.08,['Standard Delivery'],Completed,2025-10-04T21:14:53.932492
SCH10502,CUST3858,ALD6352,DRV9697,2025-04-22T14:45:45,14:45,12:00,16:00,Medium,Refrigerated,7.41,['Temperature Control'],Completed,2025-10-04T21:14:53.932557
SCH35187,CUST1967,ALD1688,DRV2537,2025-06-10T14:07:31,14:07,08:00,12:00,Medium,Emergency,1.17,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.932622
SCH28509,CUST7404,ALD4493,DRV2590,2025-06-06T21:15:10,21:15,12:00,16:00,Medium,Bulk,11.15,['Standard Delivery'],Cancelled,2025-10-04T21:14:53.932700
SCH87027,CUST7060,ALD6453,DRV3222,2025-05-26T20:06:01,20:06,08:00,12:00,Medium,Express,1.25,['Express Delivery'],Scheduled,2025-10-04T21:14:53.932771
SCH23152,CUST5184,ALD6037,DRV5986,2025-05-25T13:41:46,13:41,08:00,12:00,Low,Emergency,0.66,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.932879
SCH33745,CUST4867,ALD2261,DRV9088,2025-04-30T16:49:21,16:49,08:00,12:00,Low,Express,2.03,['Express Delivery'],In Progress,2025-10-04T21:14:53.932971
SCH14560,CUST2868,ALD3738,DRV4205,2025-05-24T18:46:18,18:46,08:00,12:00,Medium,Emergency,1.46,['Hazardous Materials'],In Progress,2025-10-04T21:14:53.933062
SCH97468,CUST4092,ALD8896,DRV4833,2025-03-13T08:06:36,08:06,08:00,12:00,Medium,Standard,5.3,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.933135
SCH45109,CUST6887,ALD9840,DRV9814,2025-05-25T14:51:06,14:51,16:00,20:00,Medium,Refrigerated,7.27,['Temperature Control'],Scheduled,2025-10-04T21:14:53.933211
SCH33934,CUST4605,ALD8127,DRV5475,2025-02-05T06:59:15,06:59,20:00,24:00,Low,Refrigerated,3.9,['Temperature Control'],Scheduled,2025-10-04T21:14:53.933277
SCH32740,CUST2808,ALD6540,DRV9456,2025-02-16T06:03:29,06:03,08:00,12:00,High,Refrigerated,6.99,['Temperature Control'],Cancelled,2025-10-04T21:14:53.933340
SCH25095,CUST6734,ALD5021,DRV2658,2025-04-19T09:08:05,09:08,12:00,16:00,Medium,Scheduled,3.92,['Fragile Handling'],Scheduled,2025-10-04T21:14:53.933404
SCH20754,CUST1525,ALD1137,DRV8729,2025-02-10T02:33:31,02:33,16:00,20:00,Medium,Bulk,6.26,['Standard Delivery'],In Progress,2025-10-04T21:14:53.933476
SCH71747,CUST8026,ALD2522,DRV2601,2025-05-23T11:08:27,11:08,08:00,12:00,Low,Emergency,1.18,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.933543
SCH97544,CUST3421,ALD1264,DRV3719,2025-02-11T22:26:48,22:26,12:00,16:00,Low,Express,3.49,"['Fragile Handling', 'Express Delivery']",Scheduled,2025-10-04T21:14:53.933607
SCH23995,CUST7373,ALD3211,DRV5849,2025-03-10T01:15:08,01:15,16:00,20:00,Medium,Refrigerated,7.83,['Temperature Control'],Cancelled,2025-10-04T21:14:53.933670
SCH29247,CUST4397,ALD2054,DRV5507,2025-04-04T18:48:33,18:48,08:00,12:00,Low,Emergency,1.88,['Standard Delivery'],Scheduled,2025-10-04T21:14:53.933733
SCH20205,CUST6347,ALD4247,DRV7224,2025-04-16T16:13:18,16:13,08:00,12:00,Medium,Express,3.87,['Express Delivery'],Cancelled,2025-10-04T21:14:53.933796
SCH68322,CUST8945,ALD6363,DRV4793,2025-02-09T11:44:45,11:44,08:00,12:00,Medium,Scheduled,5.62,"['Hazardous Materials', 'Fragile Handling']",Completed,2025-10-04T21:14:53.933859
SCH32212,CUST2841,ALD5755,DRV4864,2025-02-10T23:10:14,23:10,16:00,20:00,High,Express,1.18,['Express Delivery'],Scheduled,2025-10-04T21:14:53.933923
SCH24333,CUST3015,ALD8677,DRV2552,2025-03-29T00:58:21,00:58,20:00,24:00,Medium,Emergency,1.33,['Standard Delivery'],In Progress,2025-10-04T21:14:53.933986
