metrics_id,date,vehicle_id,driver_id,depot_id,route_id,total_distance_km,total_fuel_consumed_liters,average_fuel_efficiency,total_delivery_time_hours,on_time_delivery_rate,accidents_count,violations_count,safety_score,total_fuel_cost_sar,maintenance_cost_sar,total_operating_cost_sar,customer_satisfaction_score,delivery_success_rate,complaint_count,co2_emissions_kg,fuel_waste_liters,environmental_score,created_at,warehouse_id,supplier_id,inventory_turnover,stock_accuracy_percent,stockout_incidents,overstock_value_sar,order_fulfillment_rate,average_order_cycle_time_days,order_accuracy_rate,supplier_performance_score,supplier_reliability_percent,cost_savings_sar,transportation_cost_sar,fuel_efficiency_km_per_liter,route_optimization_savings_sar,defect_rate_percent,return_rate_percent,carbon_footprint_kg_co2,waste_reduction_percent,sustainability_score
PERF34022,2025-06-11T23:46:48,ALD4681,DRV5795,DEP2,RT33683,566.87,55.96,10.13,9.69,0.852,0.0,0.0,5.0,126.48,634.04,1088.96,4.5,0.975,0.0,149.97,2.93,4.7,2025-10-04T21:14:57.572815,,,,,,,,,,,,,,,,,,,,
PERF21474,2025-03-09T14:09:36,ALD7401,DRV1920,DEP2,RT80852,1259.74,122.9,10.25,18.73,0.959,0.0,0.0,5.0,261.58,1979.9,2524.02,4.5,0.93,0.0,329.37,9.05,4.7,2025-10-04T21:14:57.572881,,,,,,,,,,,,,,,,,,,,
PERF35096,2025-06-21T03:31:34,ALD4846,DRV7177,DEP5,RT71561,826.32,96.65,8.55,12.47,0.913,0.0,3.0,4.4,266.49,1032.16,1623.56,4.0,0.939,2.0,259.02,1.99,4.8,2025-10-04T21:14:57.572974,,,,,,,,,,,,,,,,,,,,
PERF29899,2025-02-25T11:37:36,ALD3226,DRV6041,DEP3,RT41435,721.36,88.08,8.19,12.74,0.902,0.0,0.0,5.0,230.26,1126.17,1756.67,4.1,0.985,1.0,236.05,2.29,4.6,2025-10-04T21:14:57.573108,,,,,,,,,,,,,,,,,,,,
PERF58998,2025-03-06T15:36:59,ALD8852,DRV4047,DEP5,RT23916,452.39,41.47,10.91,6.69,0.908,0.0,1.0,4.8,105.85,372.66,1109.66,4.7,0.927,0.0,111.14,2.08,3.5,2025-10-04T21:14:57.573195,,,,,,,,,,,,,,,,,,,,
PERF68844,2025-05-04T13:07:27,ALD9632,DRV8257,DEP4,RT54643,264.63,36.4,7.27,3.93,0.854,0.0,0.0,5.0,92.81,176.76,1036.81,4.7,0.972,0.0,97.55,0.73,4.0,2025-10-04T21:14:57.573353,,,,,,,,,,,,,,,,,,,,
PERF47681,2025-04-18T12:02:57,ALD9212,DRV7897,DEP5,RT74689,414.4,45.74,9.06,6.67,0.949,0.0,0.0,5.0,97.3,603.21,1139.95,4.6,0.95,0.0,122.58,3.04,4.5,2025-10-04T21:14:57.573533,,,,,,,,,,,,,,,,,,,,
PERF74001,2025-02-13T10:51:41,ALD8625,DRV1088,DEP5,RT17263,366.54,35.18,10.42,5.32,0.952,0.0,2.0,4.6,75.97,188.97,768.54,4.4,0.929,2.0,94.28,1.33,4.8,2025-10-04T21:14:57.573674,,,,,,,,,,,,,,,,,,,,
PERF41409,2025-02-05T07:20:06,ALD1921,DRV9765,DEP2,RT21756,924.76,144.95,6.38,13.16,0.858,0.0,0.0,5.0,326.64,620.01,1298.29,4.9,0.947,0.0,388.47,7.85,3.7,2025-10-04T21:14:57.573769,,,,,,,,,,,,,,,,,,,,
PERF21331,2025-04-26T07:57:08,ALD5921,DRV5405,DEP3,RT40522,524.49,68.65,7.64,9.65,0.879,0.0,0.0,5.0,184.39,990.32,1687.59,4.5,0.96,0.0,183.98,5.06,3.6,2025-10-04T21:14:57.573847,,,,,,,,,,,,,,,,,,,,
PERF81286,2025-06-16T04:37:46,ALD7858,DRV8144,DEP1,RT78733,719.72,85.07,8.46,11.85,0.947,0.0,0.0,5.0,200.19,451.01,901.96,4.8,0.941,0.0,227.99,6.47,4.6,2025-10-04T21:14:57.573921,,,,,,,,,,,,,,,,,,,,
PERF14420,2025-05-23T19:33:37,ALD4129,DRV3854,DEP3,RT62135,1303.27,199.89,6.52,25.45,0.918,0.0,0.0,5.0,529.3,1699.6,2899.22,4.6,0.958,0.0,535.71,5.48,4.2,2025-10-04T21:14:57.573993,,,,,,,,,,,,,,,,,,,,
PERF66650,2025-06-12T08:13:19,ALD7889,DRV3421,DEP6,RT63855,487.68,45.49,10.72,7.71,0.888,0.0,0.0,5.0,106.7,477.97,979.15,4.3,0.988,0.0,121.91,1.49,4.9,2025-10-04T21:14:57.574061,,,,,,,,,,,,,,,,,,,,
PERF18893,2025-03-11T12:54:27,ALD9021,DRV6448,DEP5,RT59326,798.16,79.34,10.06,15.19,0.961,0.0,0.0,5.0,208.34,741.32,1605.26,4.8,0.948,0.0,212.63,3.56,4.8,2025-10-04T21:14:57.574129,,,,,,,,,,,,,,,,,,,,
PERF46702,2025-05-19T09:39:36,ALD8677,DRV9972,DEP4,RT68455,935.86,93.87,9.97,15.23,0.97,0.0,0.0,5.0,243.29,470.17,1383.14,4.8,0.963,0.0,251.57,7.07,4.9,2025-10-04T21:14:57.574201,,,,,,,,,,,,,,,,,,,,
PERF24429,2025-05-13T09:26:18,ALD9414,DRV4354,DEP2,RT94678,941.79,92.79,10.15,16.63,0.953,0.0,1.0,4.8,202.68,1106.22,1564.19,4.0,0.937,0.0,248.68,5.96,4.1,2025-10-04T21:14:57.574269,,,,,,,,,,,,,,,,,,,,
PERF21963,2025-02-17T14:36:05,ALD7689,DRV5147,DEP1,RT22628,378.74,48.81,7.76,6.08,0.963,0.0,0.0,5.0,132.82,506.66,1300.77,4.3,0.985,0.0,130.81,1.76,4.7,2025-10-04T21:14:57.574335,,,,,,,,,,,,,,,,,,,,
PERF23440,2025-05-14T01:30:23,ALD5704,DRV2624,DEP5,RT13062,1022.42,128.44,7.96,13.65,0.954,0.0,0.0,5.0,300.19,1625.21,2358.51,4.1,0.977,1.0,344.22,3.21,4.1,2025-10-04T21:14:57.574400,,,,,,,,,,,,,,,,,,,,
PERF57023,2025-04-13T04:43:38,ALD5978,DRV7994,DEP1,RT91387,1152.82,125.58,9.18,15.68,0.865,0.0,0.0,5.0,336.64,1929.18,2493.32,4.8,0.938,0.0,336.55,4.68,3.7,2025-10-04T21:14:57.574465,,,,,,,,,,,,,,,,,,,,
PERF84205,2025-04-26T03:53:16,ALD7641,DRV5640,DEP3,RT90397,698.84,106.53,6.56,11.48,0.912,0.0,0.0,5.0,248.28,597.2,1373.03,4.2,0.956,0.0,285.5,7.19,3.5,2025-10-04T21:14:57.574530,,,,,,,,,,,,,,,,,,,,
PERF55646,2025-02-18T06:27:35,ALD4617,DRV1577,DEP4,RT78734,1026.77,152.79,6.72,17.56,0.867,0.0,0.0,5.0,375.92,1399.95,2055.14,4.8,0.933,0.0,409.48,3.76,4.0,2025-10-04T21:14:57.574597,,,,,,,,,,,,,,,,,,,,
PERF58579,2025-04-27T20:41:29,ALD7237,DRV3714,DEP6,RT73674,435.92,40.21,10.84,6.07,0.874,0.0,1.0,4.8,107.06,236.91,1037.34,4.2,0.934,1.0,107.76,2.25,4.5,2025-10-04T21:14:57.574661,,,,,,,,,,,,,,,,,,,,
PERF21814,2025-02-03T19:20:30,ALD9434,DRV1554,DEP3,RT26291,1222.39,121.27,10.08,20.79,0.876,0.0,0.0,5.0,310.93,2174.87,2940.91,4.1,0.959,0.0,325.0,7.99,3.7,2025-10-04T21:14:57.574725,,,,,,,,,,,,,,,,,,,,
PERF73649,2025-04-28T18:59:31,ALD4616,DRV9252,DEP5,RT51824,568.16,55.27,10.28,9.85,0.88,0.0,0.0,5.0,147.66,832.45,1272.2,4.2,0.939,0.0,148.12,2.43,3.7,2025-10-04T21:14:57.574795,,,,,,,,,,,,,,,,,,,,
PERF26478,2025-06-26T18:15:51,ALD3005,DRV5044,DEP4,RT82709,1047.43,139.84,7.49,18.74,0.975,0.0,3.0,4.4,323.66,1669.74,2658.35,4.1,0.933,0.0,374.77,4.47,4.1,2025-10-04T21:14:57.574861,,,,,,,,,,,,,,,,,,,,
PERF63678,2025-02-08T04:41:32,ALD8615,DRV5025,DEP2,RT73121,1268.89,191.39,6.63,21.98,0.934,0.0,0.0,5.0,473.26,1901.65,2711.04,4.1,0.929,0.0,512.93,6.32,4.4,2025-10-04T21:14:57.574930,,,,,,,,,,,,,,,,,,,,
PERF76964,2025-05-11T16:02:40,ALD6176,DRV1653,DEP3,RT71799,1220.2,102.62,11.89,16.39,0.933,0.0,0.0,5.0,220.97,2174.17,3071.53,4.1,0.971,0.0,275.02,2.94,4.8,2025-10-04T21:14:57.574994,,,,,,,,,,,,,,,,,,,,
PERF91655,2025-02-16T05:07:48,ALD2889,DRV7600,DEP2,RT13819,1225.38,162.09,7.56,18.8,0.961,0.0,1.0,4.8,389.77,1088.21,2249.46,4.2,0.962,0.0,434.4,9.07,4.6,2025-10-04T21:14:57.575063,,,,,,,,,,,,,,,,,,,,
PERF87678,2025-06-29T15:39:37,ALD1060,DRV5898,DEP4,RT31117,390.1,37.51,10.4,6.05,0.962,0.0,0.0,5.0,99.96,571.31,913.14,4.3,0.924,0.0,100.53,1.73,4.8,2025-10-04T21:14:57.575129,,,,,,,,,,,,,,,,,,,,
PERF36063,2025-05-15T23:23:50,ALD4530,DRV8671,DEP1,RT16576,918.14,102.82,8.93,14.56,0.939,0.0,0.0,5.0,249.72,1214.9,1931.27,4.6,0.948,0.0,275.56,4.1,4.0,2025-10-04T21:14:57.575192,,,,,,,,,,,,,,,,,,,,
PERF49639,2025-05-25T08:09:51,ALD1472,DRV8347,DEP3,RT17162,1239.96,104.81,11.83,19.72,0.871,0.0,1.0,4.8,280.58,891.2,1530.35,4.8,0.934,1.0,280.89,2.16,3.8,2025-10-04T21:14:57.575261,,,,,,,,,,,,,,,,,,,,
PERF24630,2025-02-23T16:10:48,ALD6944,DRV9531,DEP2,RT36812,1350.83,129.27,10.45,19.01,0.924,0.0,1.0,4.8,340.01,1506.35,2221.69,5.0,0.924,1.0,346.44,2.76,3.6,2025-10-04T21:14:57.575326,,,,,,,,,,,,,,,,,,,,
PERF91821,2025-06-02T14:34:47,ALD4941,DRV4810,DEP2,RT80991,1162.43,108.23,10.74,17.48,0.858,0.0,1.0,4.8,279.95,1228.89,2270.27,4.3,0.983,0.0,290.06,3.07,4.6,2025-10-04T21:14:57.575395,,,,,,,,,,,,,,,,,,,,
PERF88470,2025-02-12T18:12:19,ALD5093,DRV4502,DEP6,RT11491,1106.02,97.96,11.29,17.25,0.965,1.0,0.0,4.2,222.51,2121.68,2688.04,4.6,0.955,0.0,262.53,4.66,4.4,2025-10-04T21:14:57.575462,,,,,,,,,,,,,,,,,,,,
PERF76713,2025-05-09T11:24:23,ALD5674,DRV3234,DEP5,RT42628,890.27,81.83,10.88,18.58,0.9,0.0,2.0,4.6,176.88,861.51,1465.76,4.3,0.948,1.0,219.3,5.89,3.6,2025-10-04T21:14:57.575526,,,,,,,,,,,,,,,,,,,,
PERF92354,2025-05-30T16:13:48,ALD5745,DRV6141,DEP2,RT36901,508.0,60.33,8.42,10.63,0.874,0.0,0.0,5.0,132.79,670.78,1392.02,4.8,0.967,2.0,161.68,3.0,4.1,2025-10-04T21:14:57.575592,,,,,,,,,,,,,,,,,,,,
PERF57089,2025-04-13T20:18:51,ALD7999,DRV5703,DEP3,RT43197,371.3,50.18,7.4,5.64,0.919,0.0,0.0,5.0,139.73,696.45,1163.19,4.8,0.944,0.0,134.48,1.8,5.0,2025-10-04T21:14:57.575658,,,,,,,,,,,,,,,,,,,,
PERF39930,2025-05-31T21:49:18,ALD2401,DRV6851,DEP2,RT70775,1360.32,130.05,10.46,21.48,0.883,0.0,0.0,5.0,297.57,864.14,1725.27,4.7,0.928,0.0,348.53,3.51,4.2,2025-10-04T21:14:57.575723,,,,,,,,,,,,,,,,,,,,
PERF31192,2025-04-13T16:18:06,ALD6608,DRV7387,DEP4,RT39100,750.59,81.67,9.19,14.03,0.97,0.0,3.0,4.4,212.95,1328.39,1872.19,4.5,0.98,0.0,218.88,3.98,4.5,2025-10-04T21:14:57.575787,,,,,,,,,,,,,,,,,,,,
PERF58483,2025-04-01T10:00:43,ALD1479,DRV9878,DEP2,RT72340,1272.56,206.25,6.17,20.57,0.884,0.0,1.0,4.8,437.38,1349.93,2120.52,5.0,0.949,0.0,552.75,5.32,4.5,2025-10-04T21:14:57.575853,,,,,,,,,,,,,,,,,,,,
PERF68431,2025-03-27T09:52:01,ALD5332,DRV3403,DEP1,RT54649,241.93,27.06,8.94,3.48,0.915,0.0,1.0,4.8,58.89,285.03,806.42,4.0,0.952,1.0,72.52,1.15,4.5,2025-10-04T21:14:57.575918,,,,,,,,,,,,,,,,,,,,
PERF38356,2025-04-19T02:37:36,ALD4654,DRV8023,DEP2,RT48096,1441.91,134.13,10.75,26.9,0.921,0.0,0.0,5.0,310.08,980.86,1851.59,4.7,0.934,0.0,359.47,10.49,4.6,2025-10-04T21:14:57.575986,,,,,,,,,,,,,,,,,,,,
PERF87976,2025-02-09T17:01:54,ALD1817,DRV7769,DEP1,RT55138,1453.94,219.3,6.63,28.72,0.962,0.0,1.0,4.8,584.37,2831.35,4057.56,4.4,0.931,0.0,587.72,9.6,3.8,2025-10-04T21:14:57.576051,,,,,,,,,,,,,,,,,,,,
PERF79556,2025-03-03T17:59:33,ALD1418,DRV2423,DEP3,RT44454,1499.93,141.24,10.62,21.53,0.905,0.0,0.0,5.0,349.94,913.61,1530.5,4.4,0.939,2.0,378.52,4.26,4.9,2025-10-04T21:14:57.576117,,,,,,,,,,,,,,,,,,,,
PERF82918,2025-02-18T14:08:55,ALD6616,DRV9215,DEP4,RT89602,890.72,85.81,10.38,14.35,0.867,0.0,4.0,4.2,209.43,1388.45,2081.48,4.1,0.972,0.0,229.97,4.76,4.9,2025-10-04T21:14:57.576181,,,,,,,,,,,,,,,,,,,,
PERF19841,2025-05-17T05:06:33,ALD8559,DRV3617,DEP5,RT15583,1467.12,237.01,6.19,21.62,0.892,0.0,0.0,5.0,597.55,1493.66,2436.48,4.8,0.978,0.0,635.19,9.42,3.9,2025-10-04T21:14:57.576249,,,,,,,,,,,,,,,,,,,,
PERF37752,2025-04-21T01:50:36,ALD2424,DRV1032,DEP2,RT55174,517.89,48.49,10.68,7.38,0.936,0.0,0.0,5.0,113.79,357.53,1002.33,4.2,0.987,0.0,129.95,2.05,4.8,2025-10-04T21:14:57.576319,,,,,,,,,,,,,,,,,,,,
PERF51364,2025-03-20T12:17:20,ALD9409,DRV6680,DEP6,RT33839,983.7,116.55,8.44,19.5,0.962,0.0,0.0,5.0,244.91,1202.02,1840.1,4.8,0.945,1.0,312.35,6.22,4.7,2025-10-04T21:14:57.576384,,,,,,,,,,,,,,,,,,,,
PERF97096,2025-06-29T19:11:29,ALD7947,DRV2303,DEP6,RT78420,626.32,59.2,10.58,12.19,0.932,0.0,0.0,5.0,153.69,893.41,1665.21,4.4,0.935,0.0,158.66,3.81,4.8,2025-10-04T21:14:57.576447,,,,,,,,,,,,,,,,,,,,
PERF98703,2025-03-25T20:08:20,ALD6403,DRV8194,DEP5,RT98693,454.33,43.35,10.48,6.31,0.956,0.0,1.0,4.8,106.68,242.02,550.94,4.6,0.943,0.0,116.18,0.96,4.9,2025-10-04T21:14:57.576511,,,,,,,,,,,,,,,,,,,,
PERF63741,2025-03-10T14:27:47,ALD2932,DRV4209,DEP6,RT51519,583.22,49.51,11.78,8.56,0.932,0.0,0.0,5.0,138.22,1142.31,1513.03,4.7,0.946,0.0,132.69,3.25,4.8,2025-10-04T21:14:57.576575,,,,,,,,,,,,,,,,,,,,
PERF23426,2025-04-05T05:07:35,ALD5084,DRV3655,DEP4,RT51197,1194.07,106.61,11.2,16.36,0.942,0.0,0.0,5.0,239.23,1093.1,1582.9,4.0,0.956,0.0,285.71,5.04,3.5,2025-10-04T21:14:57.576646,,,,,,,,,,,,,,,,,,,,
PERF32527,2025-04-12T06:44:09,ALD8950,DRV4411,DEP4,RT12909,828.42,107.73,7.69,13.67,0.887,0.0,0.0,5.0,240.88,1278.26,1811.33,4.0,0.985,0.0,288.72,5.32,4.6,2025-10-04T21:14:57.576711,,,,,,,,,,,,,,,,,,,,
PERF34193,2025-06-12T17:26:09,ALD7057,DRV9581,DEP4,RT21396,461.15,42.5,10.85,8.48,0.954,0.0,0.0,5.0,102.54,566.67,1158.45,4.3,0.976,0.0,113.9,1.0,4.9,2025-10-04T21:14:57.576774,,,,,,,,,,,,,,,,,,,,
PERF22146,2025-06-28T09:36:45,ALD6646,DRV3926,DEP1,RT96310,640.09,65.92,9.71,10.3,0.949,0.0,3.0,4.4,156.77,514.78,1262.7,4.3,0.955,0.0,176.67,2.29,4.6,2025-10-04T21:14:57.576838,,,,,,,,,,,,,,,,,,,,
PERF77181,2025-04-12T05:04:41,ALD5922,DRV1279,DEP1,RT59029,264.24,23.18,11.4,4.68,0.87,0.0,0.0,5.0,51.16,371.9,1172.61,5.0,0.924,0.0,62.12,0.72,4.9,2025-10-04T21:14:57.576905,,,,,,,,,,,,,,,,,,,,
PERF62866,2025-03-07T01:50:04,ALD3019,DRV9709,DEP2,RT26425,1165.86,153.6,7.59,17.09,0.928,0.0,1.0,4.8,363.73,2288.71,3377.57,4.2,0.936,0.0,411.65,5.64,4.4,2025-10-04T21:14:57.576969,,,,,,,,,,,,,,,,,,,,
PERF79996,2025-05-02T08:07:53,ALD2739,DRV3220,DEP1,RT19250,823.42,71.23,11.56,17.56,0.916,0.0,1.0,4.8,180.47,563.85,1455.9,4.3,0.99,0.0,190.9,2.2,4.3,2025-10-04T21:14:57.577032,,,,,,,,,,,,,,,,,,,,
PERF70507,2025-02-20T06:50:06,ALD2483,DRV1789,DEP4,RT68180,1492.47,142.0,10.51,20.65,0.972,0.0,1.0,4.8,378.67,1935.96,3002.05,4.2,0.945,0.0,380.56,11.21,4.8,2025-10-04T21:14:57.577101,,,,,,,,,,,,,,,,,,,,
PERF35693,2025-04-23T18:50:32,ALD6129,DRV8044,DEP4,RT87390,1167.76,135.63,8.61,22.52,0.859,0.0,1.0,4.8,352.64,1220.27,2192.57,4.1,0.952,0.0,363.49,6.25,3.9,2025-10-04T21:14:57.577165,,,,,,,,,,,,,,,,,,,,
PERF43235,2025-04-13T20:20:49,ALD8307,DRV9009,DEP2,RT76442,902.08,144.1,6.26,18.98,0.967,0.0,0.0,5.0,401.26,719.63,1699.63,4.6,0.943,1.0,386.19,4.85,4.2,2025-10-04T21:14:57.577233,,,,,,,,,,,,,,,,,,,,
PERF45186,2025-04-25T07:30:37,ALD1014,DRV1871,DEP5,RT72518,720.37,65.91,10.93,15.35,0.882,0.0,2.0,4.6,160.29,1380.59,2139.54,4.1,0.952,2.0,176.64,5.15,3.6,2025-10-04T21:14:57.577298,,,,,,,,,,,,,,,,,,,,
PERF74279,2025-02-28T21:48:32,ALD3482,DRV8406,DEP3,RT96317,1498.36,171.24,8.75,24.18,0.9,0.0,0.0,5.0,377.89,1089.48,2107.83,4.7,0.926,2.0,458.92,8.72,4.7,2025-10-04T21:14:57.577362,,,,,,,,,,,,,,,,,,,,
PERF60973,2025-04-02T20:35:03,ALD5919,DRV4300,DEP2,RT69792,724.49,93.0,7.79,11.47,0.933,0.0,1.0,4.8,205.64,658.8,1554.12,4.0,0.959,2.0,249.24,6.56,4.3,2025-10-04T21:14:57.577426,,,,,,,,,,,,,,,,,,,,
PERF69165,2025-05-17T13:32:03,ALD4166,DRV6040,DEP3,RT77522,643.81,71.85,8.96,10.06,0.935,0.0,0.0,5.0,188.69,417.35,1387.68,4.2,0.937,0.0,192.56,3.93,3.7,2025-10-04T21:14:57.577490,,,,,,,,,,,,,,,,,,,,
PERF90041,2025-03-20T00:45:05,ALD6557,DRV3225,DEP5,RT84189,481.05,69.52,6.92,10.3,0.964,0.0,1.0,4.8,166.78,251.59,749.93,4.9,0.972,1.0,186.31,5.09,4.7,2025-10-04T21:14:57.577553,,,,,,,,,,,,,,,,,,,,
PERF76658,2025-02-11T11:15:39,ALD5410,DRV7110,DEP1,RT64172,581.48,70.14,8.29,7.88,0.973,0.0,4.0,4.2,164.27,996.87,1522.1,4.8,0.951,0.0,187.98,1.7,4.9,2025-10-04T21:14:57.577617,,,,,,,,,,,,,,,,,,,,
PERF90335,2025-04-29T21:48:52,ALD7420,DRV3371,DEP1,RT12328,1263.16,156.14,8.09,23.7,0.913,0.0,0.0,5.0,432.67,2337.76,3208.72,4.9,0.951,1.0,418.46,7.4,3.9,2025-10-04T21:14:57.577680,,,,,,,,,,,,,,,,,,,,
