metrics_id,date,warehouse_id,supplier_id,inventory_turnover,stock_accuracy_percent,stockout_incidents,overstock_value_sar,order_fulfillment_rate,average_order_cycle_time_days,on_time_delivery_rate,order_accuracy_rate,supplier_performance_score,supplier_reliability_percent,cost_savings_sar,transportation_cost_sar,fuel_efficiency_km_per_liter,route_optimization_savings_sar,defect_rate_percent,customer_satisfaction_score,return_rate_percent,carbon_footprint_kg_co2,waste_reduction_percent,sustainability_score,created_at
SCM86996,2025-04-21T16:32:56,WH974,SUP7246,6.31,96.03,9,36965.47,0.924,2.54,0.951,0.958,5.0,86.31,33478.11,29727.94,7.75,6673.83,0.67,5.0,2.36,2546.09,15.29,3.2,2025-10-04T21:15:16.886869
SCM44459,2025-03-17T22:15:13,WH841,SUP6191,5.09,95.45,4,67879.49,0.957,8.79,0.89,0.958,4.2,86.43,43138.65,53292.04,10.08,15170.45,1.84,4.7,2.09,3735.71,7.46,3.3,2025-10-04T21:15:16.886926
SCM58426,2025-06-22T11:48:27,WH538,SUP3241,5.23,96.08,2,75400.9,0.985,4.49,0.932,0.952,4.3,96.14,19095.73,14857.93,11.67,9862.44,1.23,4.4,2.78,3830.81,11.62,3.6,2025-10-04T21:15:16.886988
SCM29747,2025-02-09T14:53:14,WH917,SUP3055,4.73,95.78,2,92803.21,0.939,5.46,0.904,0.978,4.2,88.3,35594.31,38143.62,11.75,9250.06,1.04,5.0,2.45,4372.84,5.8,3.2,2025-10-04T21:15:16.887045
SCM78633,2025-04-05T09:19:08,WH284,SUP3717,11.07,95.58,0,83985.13,0.96,9.42,0.966,0.972,3.6,89.86,7247.32,83808.4,8.39,12308.64,0.83,4.9,2.54,5397.63,23.22,4.9,2025-10-04T21:15:16.887101
SCM79806,2025-05-18T05:55:13,WH513,SUP9112,6.85,97.32,3,90343.99,0.95,4.82,0.89,0.953,4.4,88.84,31538.06,92096.44,6.72,5325.19,1.49,4.2,2.52,8044.03,17.73,4.0,2025-10-04T21:15:16.887157
SCM69500,2025-04-25T18:47:33,WH862,SUP6115,8.74,97.39,3,90092.64,0.923,4.2,0.962,0.966,4.5,97.1,15230.83,93107.24,11.43,9209.89,1.36,4.5,2.44,3920.16,16.77,3.6,2025-10-04T21:15:16.887213
SCM23237,2025-05-17T18:17:53,WH380,SUP6740,7.21,98.97,1,58551.72,0.932,3.29,0.929,0.984,3.9,94.26,41921.53,20809.37,8.97,2777.56,1.14,4.6,2.01,3120.11,15.97,3.7,2025-10-04T21:15:16.887271
SCM75224,2025-03-03T03:37:28,WH515,SUP8876,10.64,95.94,0,72036.46,0.952,2.32,0.89,0.965,4.7,95.29,13448.05,12003.09,6.96,5556.12,1.52,4.8,2.59,7137.06,17.75,3.2,2025-10-04T21:15:16.887327
SCM77381,2025-04-24T02:18:45,WH384,SUP6543,8.37,96.07,0,76122.08,0.935,4.71,0.952,0.989,3.6,89.27,41073.16,16058.72,11.91,3292.21,0.43,4.3,2.51,2600.06,23.89,4.7,2025-10-04T21:15:16.887383
SCM25757,2025-02-14T11:47:00,WH201,SUP3538,6.1,99.04,5,89273.56,0.973,4.53,0.938,0.973,4.6,92.6,15258.05,36754.71,11.91,10505.65,0.39,4.3,1.87,4014.86,10.51,4.9,2025-10-04T21:15:16.887439
SCM61610,2025-05-23T01:13:37,WH820,SUP7427,8.42,97.48,4,43288.02,0.921,4.35,0.889,0.982,5.0,95.99,45310.06,19224.75,9.56,12306.8,0.24,4.6,2.21,1370.46,10.71,4.2,2025-10-04T21:15:16.887501
SCM89785,2025-06-01T16:03:49,WH540,SUP9301,11.86,95.59,9,45262.78,0.986,7.13,0.939,0.975,4.9,85.88,27730.94,42643.14,8.33,18569.82,0.68,4.6,1.99,5281.48,20.54,4.0,2025-10-04T21:15:16.887558
SCM27732,2025-03-27T18:07:16,WH984,SUP2838,8.42,96.28,1,39530.22,0.964,5.23,0.933,0.972,4.3,93.52,16130.99,59680.63,9.15,4713.86,1.24,4.6,1.18,8552.97,24.94,4.3,2025-10-04T21:15:16.887614
SCM58579,2025-04-10T10:23:53,WH957,SUP6249,5.8,95.58,2,54316.06,0.972,8.97,0.951,0.957,4.4,89.81,21231.92,58611.78,9.55,2276.19,1.37,4.1,2.86,2299.19,9.55,3.7,2025-10-04T21:15:16.887671
SCM79239,2025-06-15T06:53:32,WH771,SUP6972,7.19,95.96,5,64034.55,0.929,8.32,0.956,0.987,4.3,92.43,28354.96,24942.07,7.73,5714.54,0.56,4.7,2.02,1043.14,9.63,5.0,2025-10-04T21:15:16.887734
SCM34956,2025-06-25T05:49:25,WH361,SUP2458,8.66,98.25,9,95991.8,0.956,6.53,0.905,0.981,4.0,88.54,33063.47,40382.77,6.29,7403.11,0.86,4.3,2.64,1219.5,10.04,3.8,2025-10-04T21:15:16.887791
SCM77266,2025-05-27T14:09:12,WH327,SUP3884,9.35,99.43,7,29687.14,0.938,6.61,0.885,0.987,4.1,90.25,44359.05,25163.07,6.09,6867.35,0.18,4.8,2.05,5255.67,19.53,3.8,2025-10-04T21:15:16.887847
SCM35848,2025-03-18T05:41:16,WH103,SUP9236,6.31,96.54,5,65608.48,0.939,8.24,0.951,0.974,4.6,85.76,8439.0,44859.94,6.87,15814.52,1.42,4.9,1.4,4486.39,19.64,3.6,2025-10-04T21:15:16.887904
SCM63026,2025-05-24T20:23:44,WH861,SUP7314,6.56,97.06,6,55153.73,0.929,5.73,0.937,0.986,4.0,89.93,39214.41,40516.93,6.08,14056.43,1.79,4.9,0.83,2964.21,12.61,3.8,2025-10-04T21:15:16.887966
SCM21128,2025-01-31T23:41:01,WH843,SUP7423,7.42,98.48,6,74374.61,0.955,4.39,0.968,0.957,4.1,90.33,38911.06,29735.96,8.1,17035.67,1.98,4.1,2.62,3939.11,13.92,3.4,2025-10-04T21:15:16.888024
SCM66880,2025-02-02T19:43:08,WH309,SUP6902,10.39,98.11,5,11324.02,0.942,5.97,0.935,0.967,5.0,95.62,34631.63,80518.73,11.88,12402.23,0.17,4.4,2.22,8222.41,13.88,4.4,2025-10-04T21:15:16.888081
SCM25479,2025-02-12T06:18:01,WH623,SUP7435,5.38,98.55,4,76819.17,0.948,5.72,0.957,0.954,4.8,88.41,10413.5,68992.58,9.6,16928.34,0.53,4.5,1.81,6505.27,12.24,4.2,2025-10-04T21:15:16.888137
SCM92382,2025-04-12T20:55:25,WH479,SUP2227,6.44,98.6,4,26287.84,0.977,7.3,0.885,0.975,3.5,92.64,29932.59,59521.46,8.63,5418.17,1.49,4.0,0.73,5960.78,17.98,3.1,2025-10-04T21:15:16.888193
SCM29628,2025-06-12T15:39:44,WH795,SUP9043,8.22,98.03,4,41585.96,0.943,6.55,0.919,0.986,3.6,91.79,28185.05,82987.13,6.93,12483.17,1.8,4.9,0.55,8459.63,11.47,4.3,2025-10-04T21:15:16.888268
SCM85853,2025-05-30T08:36:07,WH168,SUP6039,5.28,96.63,10,32758.39,0.942,8.84,0.907,0.97,4.2,93.41,17865.81,51734.85,8.82,14904.76,0.11,4.9,2.21,5310.79,18.84,4.0,2025-10-04T21:15:16.888324
SCM36052,2025-03-01T20:29:11,WH726,SUP6598,8.09,97.74,8,44113.73,0.963,7.24,0.907,0.958,4.5,93.25,43784.15,49715.29,11.79,6672.43,0.25,4.2,1.48,6962.68,15.09,4.2,2025-10-04T21:15:16.888386
SCM48727,2025-03-06T06:39:14,WH681,SUP8433,10.33,95.62,8,96121.94,0.939,9.94,0.918,0.957,3.6,89.23,41982.81,47189.08,7.53,18558.6,1.01,4.6,1.57,8529.43,5.31,3.5,2025-10-04T21:15:16.888443
SCM15602,2025-06-27T21:09:10,WH456,SUP3736,11.04,99.46,3,43402.8,0.947,3.5,0.914,0.982,3.8,90.13,48177.22,84162.9,9.87,14409.7,1.32,5.0,3.0,2895.55,16.39,3.4,2025-10-04T21:15:16.888498
SCM79535,2025-06-26T13:25:18,WH155,SUP3497,7.93,99.37,0,79012.27,0.924,5.28,0.884,0.959,4.2,93.79,23305.6,90749.57,8.11,6078.78,1.92,4.7,1.43,2680.17,18.75,3.5,2025-10-04T21:15:16.888554
SCM49480,2025-05-12T12:56:57,WH401,SUP4586,4.84,99.25,8,79607.61,0.983,9.87,0.923,0.975,4.9,88.01,16047.77,65572.62,8.61,17736.85,1.13,4.5,1.37,2252.46,6.78,4.8,2025-10-04T21:15:16.888615
SCM98130,2025-02-09T04:38:33,WH882,SUP1738,8.48,95.52,1,12926.97,0.975,6.93,0.942,0.96,4.1,92.35,28262.35,16471.56,9.54,19851.27,1.55,4.5,1.24,9609.11,14.01,3.0,2025-10-04T21:15:16.888671
SCM54071,2025-04-24T12:54:10,WH247,SUP7771,9.9,99.02,6,26579.26,0.921,9.05,0.942,0.989,3.6,87.36,31156.19,51792.09,7.17,3067.58,1.16,4.3,0.83,3059.66,11.91,3.1,2025-10-04T21:15:16.888727
SCM56350,2025-04-14T07:04:07,WH499,SUP9704,9.87,95.04,6,97985.54,0.955,9.06,0.953,0.981,4.1,91.44,36539.55,49702.86,7.1,18882.38,1.76,4.7,0.77,5366.54,9.98,4.9,2025-10-04T21:15:16.888787
SCM75033,2025-06-21T09:12:07,WH110,SUP6213,9.45,95.88,2,59490.53,0.93,2.16,0.964,0.975,3.9,97.51,20305.33,34057.78,11.17,17343.02,0.28,4.2,2.71,3479.05,7.6,3.6,2025-10-04T21:15:16.888844
SCM67560,2025-02-21T06:50:45,WH276,SUP4184,11.25,97.76,1,80753.57,0.971,3.59,0.901,0.976,3.8,86.94,46771.18,56103.53,6.64,3160.5,0.46,4.0,2.89,6537.57,20.1,4.9,2025-10-04T21:15:16.888902
SCM18653,2025-04-30T11:18:13,WH280,SUP7099,6.63,95.29,0,27772.44,0.951,7.78,0.924,0.963,4.5,95.5,15515.04,47777.96,11.23,6024.37,1.13,4.8,1.85,6079.14,23.35,4.6,2025-10-04T21:15:16.888962
SCM55953,2025-04-03T09:01:56,WH904,SUP3069,10.44,97.46,0,12712.75,0.947,2.13,0.884,0.965,4.0,87.07,7294.5,42861.85,6.58,10983.57,0.49,4.2,1.98,9102.92,16.18,4.5,2025-10-04T21:15:16.889019
SCM17055,2025-06-29T20:08:13,WH766,SUP9856,7.25,99.13,3,84484.19,0.964,8.27,0.897,0.989,3.6,95.88,15149.17,81198.47,10.97,5372.82,1.98,4.5,2.22,2632.52,12.67,4.0,2025-10-04T21:15:16.889077
SCM82463,2025-02-12T15:03:03,WH587,SUP1171,4.63,95.56,6,91590.11,0.988,2.01,0.943,0.982,3.9,89.59,19269.81,53666.75,6.06,3894.49,1.66,4.3,2.51,6020.82,17.89,4.4,2025-10-04T21:15:16.889137
SCM40127,2025-06-02T21:05:03,WH240,SUP4317,9.38,97.6,7,37838.35,0.936,3.79,0.886,0.981,4.0,91.18,28569.38,19992.48,6.67,6288.71,1.5,4.8,2.33,6004.82,17.74,3.9,2025-10-04T21:15:16.889195
SCM74528,2025-04-29T00:28:03,WH903,SUP3715,8.11,95.67,3,57585.37,0.962,4.25,0.899,0.954,4.0,96.23,14289.58,13141.06,6.32,4652.36,1.83,4.2,2.63,9825.13,11.08,4.0,2025-10-04T21:15:16.889252
SCM20164,2025-05-24T05:06:52,WH217,SUP9805,10.62,95.05,5,44036.5,0.944,2.95,0.962,0.977,3.9,92.38,31725.75,14191.53,9.33,9798.58,0.3,4.3,2.37,6158.84,18.95,3.6,2025-10-04T21:15:16.889308
SCM19801,2025-03-13T14:00:21,WH468,SUP5788,10.17,97.57,5,85403.2,0.935,2.59,0.899,0.971,5.0,94.37,13112.58,33055.89,11.42,9153.49,1.4,5.0,0.9,4777.48,18.43,4.3,2025-10-04T21:15:16.889364
SCM89250,2025-05-14T09:31:48,WH106,SUP9382,8.91,97.03,2,38499.8,0.949,8.42,0.966,0.977,4.5,96.61,48977.35,10410.1,11.15,15496.82,0.7,4.6,2.31,3927.65,12.87,4.9,2025-10-04T21:15:16.889420
SCM20579,2025-03-18T20:34:55,WH429,SUP5138,5.94,98.94,5,24539.76,0.933,8.88,0.945,0.978,4.9,97.63,9329.09,71682.13,9.82,7156.97,1.57,4.4,2.07,7840.57,11.55,4.4,2025-10-04T21:15:16.889480
SCM43468,2025-04-11T02:42:15,WH413,SUP3687,10.26,96.7,10,34178.25,0.966,8.87,0.88,0.971,4.8,86.59,16588.56,96437.52,7.69,11293.1,1.28,4.1,2.32,7001.72,9.36,4.5,2025-10-04T21:15:16.889541
SCM26892,2025-06-01T12:23:59,WH656,SUP2606,5.77,98.03,0,42899.21,0.96,6.13,0.969,0.957,4.1,85.22,41685.37,50575.25,7.39,11253.14,0.6,4.2,2.73,3794.22,10.52,3.9,2025-10-04T21:15:16.889598
SCM85662,2025-03-24T21:01:43,WH441,SUP3318,5.49,96.28,6,35731.17,0.948,7.76,0.922,0.957,4.1,95.98,42747.76,64604.64,9.99,18366.66,0.94,4.7,1.79,3188.75,11.72,3.2,2025-10-04T21:15:16.889654
SCM66247,2025-06-19T19:53:32,WH351,SUP5634,8.93,98.51,8,36068.53,0.921,3.93,0.888,0.977,3.7,89.82,27190.74,13451.99,6.48,18523.74,1.39,4.6,1.17,6485.15,12.84,3.9,2025-10-04T21:15:16.889710
SCM70555,2025-06-16T06:03:24,WH715,SUP2358,5.23,95.25,5,79735.64,0.968,5.03,0.894,0.981,3.7,90.49,43113.96,18805.71,8.28,8404.36,0.28,4.9,1.84,4539.1,9.59,3.1,2025-10-04T21:15:16.889772
SCM48043,2025-04-21T18:41:50,WH290,SUP4775,5.36,96.49,5,73834.79,0.946,9.52,0.962,0.979,3.8,85.19,37476.73,13548.63,6.78,6423.7,1.88,4.1,2.16,5745.96,9.12,3.0,2025-10-04T21:15:16.889828
SCM12386,2025-02-16T00:08:27,WH266,SUP7568,7.97,97.66,0,61172.45,0.971,3.69,0.961,0.983,4.5,86.5,42668.93,78633.34,6.09,9700.65,0.31,4.4,2.27,5355.63,16.87,3.6,2025-10-04T21:15:16.889883
SCM26025,2025-05-16T04:18:26,WH600,SUP2152,9.85,98.32,8,50079.94,0.963,7.25,0.909,0.972,4.5,91.5,44464.62,18619.0,8.59,12672.52,0.16,4.8,1.85,4790.84,22.63,4.6,2025-10-04T21:15:16.889943
SCM61678,2025-06-20T03:05:21,WH364,SUP4568,7.41,98.59,2,11736.54,0.948,3.61,0.914,0.988,4.3,86.55,22149.85,28162.58,7.13,8994.62,1.54,4.9,2.13,1964.03,10.17,3.6,2025-10-04T21:15:16.890002
SCM22646,2025-03-06T17:04:54,WH259,SUP3907,4.13,95.39,9,40024.55,0.953,9.48,0.944,0.987,4.1,89.83,40974.9,40151.46,6.32,3108.12,1.02,4.1,1.83,8866.1,9.97,3.9,2025-10-04T21:15:16.890058
SCM67415,2025-02-08T14:50:21,WH438,SUP6297,7.51,98.53,0,13169.2,0.921,9.49,0.915,0.983,4.2,86.1,41693.47,52494.97,11.93,4641.73,0.99,4.4,0.69,1483.21,14.72,3.0,2025-10-04T21:15:16.890114
SCM11124,2025-03-27T20:40:01,WH404,SUP7582,10.05,97.0,3,74968.51,0.969,5.28,0.913,0.978,4.3,93.57,34190.07,21067.19,8.1,19827.82,1.47,4.5,1.93,6091.05,7.9,3.1,2025-10-04T21:15:16.890170
SCM36077,2025-04-10T07:14:54,WH333,SUP6691,11.85,97.04,4,62648.8,0.972,3.88,0.898,0.963,3.9,86.66,21897.97,79585.37,6.04,19824.18,1.76,4.5,1.82,8727.42,7.36,4.7,2025-10-04T21:15:16.890225
SCM35460,2025-04-17T02:27:32,WH206,SUP5447,10.86,97.29,5,18715.63,0.99,4.52,0.925,0.988,4.4,95.72,16683.8,88413.59,8.77,13742.33,0.31,4.8,2.16,7488.08,9.08,3.5,2025-10-04T21:15:16.890281
SCM71631,2025-02-19T18:34:01,WH111,SUP5931,11.24,97.22,8,18814.13,0.956,8.92,0.915,0.982,4.2,86.16,45431.03,14761.21,7.95,2696.73,0.6,4.1,1.43,8097.58,20.73,3.6,2025-10-04T21:15:16.890541
SCM61760,2025-04-08T12:41:38,WH352,SUP8411,8.81,96.78,5,88542.41,0.963,5.18,0.912,0.965,4.0,85.74,41927.44,81484.65,11.27,11275.13,1.14,4.1,1.97,4997.75,22.01,4.0,2025-10-04T21:15:16.890679
SCM52993,2025-06-21T01:15:15,WH843,SUP3992,5.14,96.33,10,60111.81,0.95,2.16,0.929,0.951,4.0,85.38,10876.49,41409.05,11.11,2823.43,1.65,4.0,0.96,3725.46,23.46,5.0,2025-10-04T21:15:16.890756
SCM74740,2025-04-07T12:35:28,WH899,SUP1147,5.91,96.19,6,27401.24,0.924,7.55,0.964,0.959,4.1,87.41,16882.62,66871.88,10.64,13700.01,1.4,4.5,1.74,2922.66,6.2,4.9,2025-10-04T21:15:16.890814
SCM24513,2025-02-06T09:30:39,WH321,SUP7934,5.68,95.08,0,45402.21,0.944,7.89,0.931,0.97,4.9,90.4,31747.52,17432.76,8.76,9293.53,1.89,4.7,2.24,7812.61,15.49,3.0,2025-10-04T21:15:16.890872
SCM94154,2025-06-28T10:56:23,WH718,SUP1637,4.18,95.54,5,10880.0,0.926,5.3,0.897,0.964,3.8,86.27,44877.85,66026.84,7.03,8346.67,0.39,4.8,1.88,6021.75,16.91,4.2,2025-10-04T21:15:16.890928
